api,og_code,district,county,county_no,ofcu_well_priority,operator_name,operator_no,lease_name,lease_no,well_no,field_name,field_no,sfp_code,ice_inspection_date,ice_inspection_id,sb639_enf,sb639_r15,months_delinquent,oil_unit_no,water_land_code,multi_comp_flag,api_depth,wb_shutin_dt,well_shutin_dt,wb_14b2_flag,well_type_name,plug_date,plug_lease_name,plug_operator_name,recent_permit,recent_permit_lease_name,recent_permit_operator_no,on_schedule,og_wellbore_ewa_id,w2g1_filed_date,w2g1_date,completion_date,w3_file_date,p5_renewal_month,p5_renewal_year,p5_org_status,current_inactive_yrs,current_inactive_months,wl_14b2_ext_status,wl_14b2_mech_integ,wl_14b2_plg_ord_sf,wl_14b2_pollution,wl_14b2_fldops_hold,wl_14b2_h15_prob,wl_14b2_h15_delq,wl_14b2_oper_delq,wl_14b2_dist_sfp,wl_14b2_dist_sf_clnup,wl_14b2_dist_st_plg,wl_14b2_good_faith,wl_14b2_well_other,surf_eqp_viol,w3x_viol,h15_status_code
34731701,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ADAMS GAS UNIT,183031,4,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2021-01-29,738475,Enf,,21,,L,,8950,201910,201910,Y,TEMP ABANDONED,,ADAMS GAS UNIT,WEATHERLY OIL & GAS  LLC,506145,ADAMS GAS UNIT,902815,Y,4828132930,20060413,20060112,20010524,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731704,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,BARFIELD,189682,1,OAK CREEK (JAMES LIME),66459225,,2021-01-19,733483,Enf,,21,,L,,7142,201110,201110,Y,TEMP ABANDONED,,BARFIELD,WEATHERLY OIL & GAS  LLC,507757,BARFIELD,902815,Y,4828132933,20020821,20020605,20010623,,9,2021,D,9,8,D, , , , , , ,O,,,,,,,,
34731709,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,SCROGGINS GAS UNIT,185768,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-11-13,548478,Enf,,21,,L,,9050,201910,201910,Y,TEMP ABANDONED,,SCROGGINS GAS UNIT,WEATHERLY OIL & GAS  LLC,508344,SCROGGINS GAS UNIT,902815,Y,4828132935,20011212,20011121,20011104,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731724,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,KEY,187977,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,540935,Enf,,21,,L,,8990,201910,201910,Y,TEMP ABANDONED,,KEY,WEATHERLY OIL & GAS  LLC,518360,KEY,902815,Y,4828132948,20020524,20020320,20020322,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731726,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,CARO LUMBER GAS UNIT,186749,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,540167,Enf,,21,,L,,9128,201810,201810,Y,TEMP ABANDONED,,CARO LUMBER GAS UNIT,WEATHERLY OIL & GAS  LLC,514688,CARO LUMBER GAS UNIT,902815,Y,4828132950,20060818,20060316,20011221,,9,2021,D,2,8,D, , , , , , ,O,,,,,,,,
34731733,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,LUNSFORD GAS UNIT,188534,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,540990,Enf,,21,,L,,8900,201910,201910,Y,TEMP ABANDONED,,LUNSFORD GAS UNIT,WEATHERLY OIL & GAS  LLC,516699,LUNSFORD GAS UNIT,902815,Y,4828132956,20060818,20060317,20020307,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731739,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,SCROGGINS GAS UNIT,189524,3,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,540135,Enf,,21,,L,,9134,201606,201606,Y,TEMP ABANDONED,,SCROGGINS GAS UNIT,WEATHERLY OIL & GAS  LLC,518375,SCROGGINS GAS UNIT,902815,Y,4828132963,20060818,20060313,20020608,,9,2021,D,5,0,D, , , , , , ,O,,,,,,,,
34731743,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,BOATMAN GAS UNIT,189898,2,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-23,539818,Enf,,21,,L,,8958,201910,201910,Y,PRODUCING,,BOATMAN GAS UNIT,WEATHERLY OIL & GAS  LLC,518844,BOATMAN GAS UNIT,902815,Y,4828132967,20060818,20060316,20020614,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731746,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,PETERSON GAS UNIT,190372,3,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-29,542771,Enf,,21,,L,,8956,201311,201311,Y,TEMP ABANDONED,,PETERSON GAS UNIT,WEATHERLY OIL & GAS  LLC,520069,PETERSON GAS UNIT,902815,Y,4828132970,20060818,20060321,20040626,,9,2021,D,7,7,D, , , , , , ,O,,,,,,,,
34731747,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,191327,3,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,541324,Enf,,21,,L,,8965,200904,200904,Y,TEMP ABANDONED,,FOSHEE GAS UNIT,WEATHERLY OIL & GAS  LLC,520646,FOSHEE GAS UNIT,902815,Y,4828132971,20060818,20060313,20021015,,9,2021,D,12,2,D, , , , , , ,O,,,,,,,,
34731752,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,DURRETT GAS UNIT,191953,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-09-24,690319,Enf,,21,,L,,8950,201910,201910,Y,TEMP ABANDONED,,DURRETT GAS UNIT,WEATHERLY OIL & GAS  LLC,521889,DURRETT GAS UNIT,902815,Y,4828132976,20060818,20060313,20021115,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731758,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,STANALAND GAS UNIT,192847,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,541322,Enf,,21,,L,,9085,201209,201209,Y,TEMP ABANDONED,,STANALAND GAS UNIT,WEATHERLY OIL & GAS  LLC,522955,STANALAND GAS UNIT,902815,Y,4828132982,20060818,20060316,20021209,,9,2021,D,8,9,D, , , , , , ,O,,,,,,,,
34731768,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,LATIMER GAS UNIT,195664,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2021-01-13,731027,Enf,,21,,L,,8950,200906,200906,Y,TEMP ABANDONED,,LATIMER GAS UNIT,WEATHERLY OIL & GAS  LLC,523934,LATIMER GAS UNIT,902815,Y,4828132991,20030804,20030714,20030501,,9,2021,D,12,0,D, , , , , , ,O,,,,,,,,
34731769,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,HARTT GAS UNIT,192549,2,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-25,540927,Enf,,21,,L,,8997,201210,201210,Y,TEMP ABANDONED,,HARTT GAS UNIT,WEATHERLY OIL & GAS  LLC,523919,HARTT GAS UNIT,902815,Y,4828132992,20030305,20030122,20021217,,9,2021,D,8,8,D, , , , , , ,O,,,,,,,,
34731771,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,DELONEY-ADAMS GAS UNIT,193212,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-11-13,710524,Enf,,21,,L,,8650,201908,201908,Y,TEMP ABANDONED,,DELONEY-ADAMS GAS UNIT,WEATHERLY OIL & GAS  LLC,524286,DELONEY-ADAMS GAS UNIT,902815,Y,4828132994,20180629,20180329,20180327,,9,2021,D,1,10,,,,,,,,,,,,,,,,
34731776,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,TASHA PARTNERS GAS UNIT,194067,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-28,541642,Enf,,21,,L,,8875,201910,201910,Y,TEMP ABANDONED,,TASHA PARTNERS GAS UNIT,WEATHERLY OIL & GAS  LLC,525210,TASHA PARTNERS GAS UNIT,902815,Y,4828132999,20060621,20060308,20030209,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731777,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,MCLAIN GAS UNIT,193878,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-10-28,706607,Enf,,21,,L,,9250,201910,201910,Y,TEMP ABANDONED,,MCLAIN GAS UNIT,WEATHERLY OIL & GAS  LLC,525250,MCLAIN GAS UNIT,902815,Y,4828133000,20060818,20060316,20030212,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731780,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,STANSELL GAS UNIT,195960,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-09-22,688709,Enf,,21,,L,,9250,201909,201909,Y,PRODUCING,,STANSELL GAS UNIT,WEATHERLY OIL & GAS  LLC,525837,STANSELL GAS UNIT,902815,Y,4828133003,20030820,20030714,20030515,,9,2021,D,1,9,,,,,,,,,,,,,,,,
34731781,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,BRG GAS UNIT,193976,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-24,540727,Enf,,21,,L,,8934,201710,201710,Y,TEMP ABANDONED,,BRG GAS UNIT,WEATHERLY OIL & GAS  LLC,526239,BRG GAS UNIT,902815,Y,4828133004,20060818,20060316,20060206,,9,2021,D,3,8,D, , , , , , ,O,,,,,,,,
34731788,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,HARTT GAS UNIT,194430,3,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-10-28,706424,Enf,,21,,L,,9000,201910,201910,Y,PRODUCING,,HARTT GAS UNIT,WEATHERLY OIL & GAS  LLC,527302,HARTT GAS UNIT,902815,Y,4828133011,20030602,20030509,20030415,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731791,G,06,NACOGDOCHES,347,,"DEEP ROCK RESOURCES, INC.",209651,STANALAND,195068,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-03-22,454706,Enf,,30,,L,,9211,201801,201801,Y,TEMP ABANDONED,,STANALAND,DEEP ROCK RESOURCES  INC.,527743,STANALAND,209651,Y,4828133014,20030707,20030612,20030530,,11,2021,D,3,5,D, , , , , , ,O,,,,,,,,
34731792,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,STEWART MINERALS GAS UNIT A,196566,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-29,542582,Enf,,21,,L,,9175,201711,201711,Y,TEMP ABANDONED,,STEWART MINERALS GAS UNIT A,WEATHERLY OIL & GAS  LLC,527861,STEWART MINERALS GAS UNIT A,902815,Y,4828133015,20060818,20060316,20030511,,9,2021,D,3,7,D, , , , , , ,O,,,,,,,,
34731807,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,STOKES-WAGNER,196131,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2021-02-24,745923,Enf,,21,,L,,8900,201508,201508,Y,TEMP ABANDONED,,STOKES-WAGNER,WEATHERLY OIL & GAS  LLC,529909,STOKES-WAGNER,902815,Y,4828133027,20060818,20060321,20030615,,9,2021,D,5,10,D, , , , , , ,O,,,,,,,,
34731815,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,BERRY GAS UNIT,196560,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-17,537205,Enf,,21,,L,,9150,201909,201909,Y,TEMP ABANDONED,,BERRY GAS UNIT,WEATHERLY OIL & GAS  LLC,530641,BERRY GAS UNIT,902815,Y,4828133034,20031001,20030811,20030627,,9,2021,D,1,9,,,,,,,,,,,,,,,,
34731822,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,WATT GAS UNIT,197840,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-29,542586,Enf,,21,,L,Y,8950,201910,201910,Y,TEMP ABANDONED,,WATT GAS UNIT,WEATHERLY OIL & GAS  LLC,536926,WATT GAS UNIT,902815,Y,4828133043,20060818,20060317,20031006,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731823,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,PURE GAS UNIT,197328,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2021-01-13,731020,Enf,,21,,L,,8950,201505,201505,Y,TEMP ABANDONED,,PURE GAS UNIT,WEATHERLY OIL & GAS  LLC,532074,PURE GAS UNIT,902815,Y,4828133044,20060818,20060317,20030830,,9,2021,D,6,1,D, , , , , , ,O,,,,,,,,
34731825,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,ROSINE,197521,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2020-08-26,676518,Enf,,21,,L,,9080,201910,201910,Y,PRODUCING,,ROSINE,WEATHERLY OIL & GAS  LLC,532521,ROSINE,902815,Y,4828133046,20060818,20060317,20030829,,9,2021,D,1,8,,,,,,,,,,,,,,,,
34731826,G,06,NACOGDOCHES,347,,"WEATHERLY OIL & GAS, LLC",902815,FORREST GAS UNIT,199368,1,NACONICHE CREEK (ROD.-TP CONS.),64300287,,2019-10-28,541640,Enf,,21,,L,,9603,200906,200906,Y,TEMP ABANDONED,,FORREST GAS UNIT,WEATHERLY OIL & GAS  LLC,533007,FORREST GAS UNIT,902815,Y,4828133047,20060818,20050316,20031122,,9,2021,D,12,0,D, , , , , , ,O,,,,,,,,
