og_code,operator_name,operator_no,lease_name,lease_no,well_no,api,district,county,field_name,field_no,oil_unit_no,water_land_code,api_depth,shutin_dt,well_plugged,cost_calc,compliance_due_date,orig_completion,ice_inspection_date,ice_inspection_id,sfp_code,ofcu_well_priority,sb639_enf,sb639_r15,months_delinquent,p5_renewal_month,p5_renewal_year,p5_originating_status,current_5yr_inactive,current_10yr_inactive,aged_5yr_inactive,aged_10yr_inactive,current_inactive_yrs,current_inactive_months,aged_inactive_yrs,aged_inactive_months,extension_status,ext_data_h,ext_data_e,ext_data_p,ext_data_f,ext_data_v,ext_data_x,ext_data_o,ext_data_t,ext_data_m,ext_data_k,ext_data_r,ext_data_q,ext_data_s,ext_data_w
O,"ULTREX OIL CO., L.L.C.",875591,"BAKER, ET AL """"A""""",13736,9,31530179,06,MARION,MARION COUNTY (SHALLOW),57534500,,L,2760,2018-09-15,f,21887,,1972-04-07,2020-11-04,707314,271933,2H,Enf,,268,1,2022,D,f,f,f,f,2,8,3,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"ULTREX OIL CO., L.L.C.",875591,"BAKER, ET AL """"B""""",13737,7,31530066,06,MARION,MARION COUNTY (SHALLOW),57534500,,L,2650,2018-09-15,f,21015,,1969-12-10,2020-11-04,707316,271930,2H,Enf,,268,1,2022,D,f,f,f,f,2,8,3,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"ULTREX OIL CO., L.L.C.",875591,"BAKER, ET AL """"D""""",13738,2,31580119,06,MARION,MARION COUNTY (SHALLOW),57534500,,L,2208,2018-09-15,f,17509,,1984-01-12,2020-11-04,707311,271931,2H,Enf,,268,1,2022,D,f,f,f,f,2,8,3,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,JERGINS OIL COMPANY,432066,"BANNER """"A""""",02754,24A,34932541,05,NAVARRO,CORSICANA (SHALLOW),20823500,,L,750,2015-02-15,f,4800,,1983-08-24,2020-12-04,717634,272659,2H,Enf,,114,9,2021,D,t,f,t,f,6,3,6,7,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,JERGINS OIL COMPANY,432066,"BANNER """"A""""",02754,A32,34933265,05,NAVARRO,CORSICANA (SHALLOW),20823500,,L,730,2015-02-15,f,4672,,1987-05-03,2021-01-05,727170,272659,2H,Enf,,114,9,2021,D,t,f,t,f,6,3,6,7,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,PRICKLY PAIR PRODUCTION,677108,"BATTLE, E. R. 'A'",25058,1,05935909,7B,CALLAHAN,"SCRANTON,NW (DUFFER)",81808500,,L,4060,2018-02-15,f,45756,,1988-08-20,2020-11-05,715320,,4,Enf,Rule 15,34,5,2021,D,f,f,f,f,3,3,3,3,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"SANTA ANNA OPERATING 3, LLC",748098,"BAUGH, DICK STACY",06652,1,08380934,7B,COLEMAN,COLEMAN COUNTY REGULAR,19511001,,L,3340,2019-12-15,f,37642,,1984-01-12,,,,4,,,18,11,2021,D,f,f,f,f,1,5,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"SANTA ANNA OPERATING 3, LLC",748098,"BAUGH, DICK STACY",06652,2,08330312,7B,COLEMAN,COLEMAN COUNTY REGULAR,19511001,,L,2429,2019-12-15,f,27375,,1975-02-19,,,,4,,,18,11,2021,D,f,f,f,f,1,5,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,BENNETT GAS UNIT,218613,10,34732122,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,10700,2019-05-15,f,84851,,2005-12-19,2019-10-22,538942,,,Enf,,21,9,2021,D,f,f,f,f,2,0,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,BERRY GAS UNIT,196560,1,34731815,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9150,2019-09-15,f,72560,,2003-06-27,2019-10-17,537205,,,Enf,,21,9,2021,D,f,f,f,f,1,8,2,0,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,BOATMAN GAS UNIT,189898,2,34731743,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8958,2019-10-15,f,71037,,2002-06-14,2019-10-23,539818,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,11,06502222,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,12,06502223,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-04-28,621529,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,13,06502224,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-04-28,621529,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,15,06502225,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,16,06502226,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,19,06502227,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,20,06502228,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,21,06502229,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,22,06502230,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,23,06502231,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,24,06502232,10,CARSON,PANHANDLE CARSON COUNTY FIELD,68845001,,L,3100,2019-08-15,f,30039,,1984-01-12,2020-03-24,603664,,,,,18,12,2021,D,f,f,f,f,1,9,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"SRJC ENTERPRISES, LLC",810824,BORCHERS-BORCHERS UNIT,12747,1,17731797,01,GONZALES,PEACH CREEK (AUSTIN CHALK),69882500,,L,11180,2018-04-15,f,124545,,1990-10-05,2020-08-12,669201,,,Enf,Rule 15,65,9,2021,D,f,f,f,f,3,1,3,5,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"BOTASCH OPERATING, LLC",083330,BOWMAN,14872,2,12733466,01,DIMMIT,PEARSALL (AUSTIN CHALK),69981125,,L,5869,2010-03-15,f,65381,,2007-08-31,2020-11-19,712713,246138,3,Enf,,135,2,2022,D,f,t,f,t,11,2,11,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,BRG GAS UNIT,230644,4,34732420,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9120,2019-10-15,f,72322,,2007-07-13,2019-10-24,540728,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"SIMPLES OIL INTERNATIONAL, LLC",784116,BROWN,12195,2A,00131996,06,ANDERSON,JACK MACE (SUB-CLARKSVILLE),45323500,,L,4975,2018-12-15,f,39452,,1990-10-29,2021-02-25,746985,,,,,21,6,2021,D,f,f,f,f,2,5,2,6,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,DALF ENERGY LLC,197641,"BULL, BRUCE",05710,1,17931567,10,GRAY,PANHANDLE GRAY COUNTY FIELD,68873001,,L,3050,2019-07-15,f,29555,,1984-02-18,2020-09-09,683899,,,Enf,Rule 15,16,11,2021,D,f,f,f,f,1,10,2,4,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,TIDWELL PRODUCTION COMPANY,859824,BUNGER 31,122593,1,46530467,01,VAL VERDE,BAXTER-WENTWORTH (CANYON SAND),6262200,,L,4450,2019-08-15,f,49573,,1986-04-17,2017-06-19,230389,,,,,19,10,2021,D,f,f,f,f,1,9,2,2,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"DIAMOND M OIL CO., INC.",216899,BYRNE-ATKINS,24377,1,37132577,08,PECOS,PECOS VALLEY (HIGH GRAVITY),70129580,,L,1700,1998-06-15,f,30396,,1978-08-12,2020-11-20,714951,,,,,264,12,2021,D,f,t,f,t,22,11,23,6,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"STACHA, EDDY A.",810868,"CAGE, R.C. """"45""""",06210,1,32330796,01,MAVERICK,CAGE RANCH (EAGLEFORD),14606495,,L,9800,2013-04-15,f,109172,,1977-11-18,2018-02-16,306338,265976,3,Enf,Rule 15,91,9,2021,D,t,f,t,f,8,1,8,5,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,CARO LUMBER GAS UNIT,226681,5,34732354,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9335,2019-10-15,f,74027,,2007-02-19,2019-10-23,540169,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"CARTWRIGHT, ROSS G.",222199,2,34732273,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9500,2019-10-15,f,75335,,2006-07-29,2019-10-28,541594,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"CASE, EMMETT GAS UNIT",150840,1,34730549,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,11516,2019-10-15,f,91322,,1981-07-31,2019-10-29,542589,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,ESPADA OPERATING LLC,254277,CHAPARROSA,15490,A1H,50732719,01,ZAVALA,BRISCOE RANCH (EAGLEFORD),12018200,,L,5303,2016-04-15,f,59075,,2009-04-15,2019-10-23,542801,,4,Enf,Rule 15,91,9,2021,D,t,f,t,f,5,1,5,5,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"SLT DAKOTA OPERATING, INC.",740337,"CLAY, A. R.",026334,1,08780292,10,COLLINGSWORTH,"PANHANDLE, EAST",68826001,,L,2197,2018-04-15,f,21289,,1960-12-01,2019-07-25,500516,,,Enf,,39,2,2022,D,f,f,f,f,3,1,3,10,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"CLIFTON, SAMMY",213919,1,34732037,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9000,2019-08-15,f,71370,,2005-07-31,2019-10-22,539074,,,Enf,,21,9,2021,D,f,f,f,f,1,9,2,1,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"ZAZA ENERGY, LLC",950545,CONNIFF UNIT,267301,A1H,28533597,02,LAVACA,EAGLEVILLE (EAGLE FORD-2),27135750,,L,14057,2015-09-15,f,220695,,2011-11-21,2019-10-04,532728,,4,Enf,,66,11,2021,D,t,f,t,f,5,8,6,2,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,LEEJAN OIL COMPANY,495297,CRAWFORD,06925,7803,37531411,10,POTTER,PANHANDLE (RED CAVE),68825800,,L,2282,2019-12-15,f,22113,,1993-08-20,2019-05-30,479987,,,,,16,12,2021,D,f,f,f,f,1,5,2,0,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"LEVERAGE OPERATING, LLC",498751,"CRAWFORD, NORRIS",12049,6,00131760,06,ANDERSON,SLOCUM,84144001,,L,545,2019-11-15,f,4322,,1986-08-22,2021-02-26,746983,,,,,17,10,2021,D,f,f,f,f,1,6,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"LEVERAGE OPERATING, LLC",498751,"CRAWFORD, NORRIS -A-",11678,3,00131622,06,ANDERSON,SLOCUM,84144001,,L,500,2019-11-15,f,3965,,1985-12-17,2021-01-22,734904,,,,,17,10,2021,D,f,f,f,f,1,6,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"LEVERAGE OPERATING, LLC",498751,"CRAWFORD, NORRIS -A-",11678,4,00131621,06,ANDERSON,SLOCUM,84144001,,L,505,2019-11-15,f,4005,,1985-12-19,2021-01-22,734904,,,,,17,10,2021,D,f,f,f,f,1,6,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"CURBOW, W. D.",193453,3,34731782,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9000,2019-10-15,f,71370,,2003-02-07,2019-10-25,540923,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"CURBOW, W. D.",236556,8,34732545,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9315,2019-10-15,f,73868,,2008-03-05,2021-02-01,738948,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"BEP OPERATING, LLC",066718,"DABBS, W. T.",61422,1CF,33530475,8A,MITCHELL,"SHARON RIDGE (2800, S)",82710750,,L,3365,2019-07-15,f,40918,,1975-04-29,2021-02-04,740467,273039,2,Enf,Rule 15,26,4,2022,D,f,f,f,f,1,10,2,9,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"BEP OPERATING, LLC",066718,"DABBS, W. T.",61422,2CF,33530625,8A,MITCHELL,"SHARON RIDGE (2800, S)",82710750,,L,3403,2019-07-15,f,41380,,1976-02-26,2021-02-04,740467,273039,2H,Enf,Rule 15,26,4,2022,D,f,f,f,f,1,10,2,9,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"NBI SERVICES, INC.",601352,"DAVIS, B. W.",01728,1,22300082,05,HOPKINS,SULPHUR BLUFF,87059001,,L,4527,2019-03-15,f,28973,,1965-03-23,2021-04-05,759890,271891,2H,Enf,,25,12,2021,D,f,f,f,f,2,2,2,9,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,TIDWELL PRODUCTION COMPANY,859824,DEATON 1-121,111767,1,46530013,01,VAL VERDE,BAXTER-WENTWORTH (CANYON SAND),6262200,,L,16689,2019-11-15,f,185915,,1984-05-11,,,,,,,19,10,2021,D,f,f,f,f,1,6,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,DELONEY-ADAMS GAS UNIT,193212,1,34731771,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8650,2019-08-15,f,68595,,2003-01-10,2020-11-13,710524,,,Enf,,21,9,2021,D,f,f,f,f,1,9,2,1,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,DELONEY-ADAMS GAS UNIT,225130,3,34732363,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8905,2019-06-15,f,70617,,2006-12-09,2019-10-16,536459,,,Enf,,21,9,2021,D,f,f,f,f,1,11,2,3,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"DEWS, CARLOS UNIT",238638,8,34732768,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9248,2019-09-15,f,73337,,2008-06-18,2019-10-23,539811,,,Enf,,21,9,2021,D,f,f,f,f,1,8,2,0,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,DURRETT GAS UNIT,216565,4,34732098,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,10157,2019-10-15,f,80545,,2005-09-20,2019-11-14,549347,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"E.T.B.U. GAS UNIT """"A""""",196126,1,34731801,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8867,2019-10-15,f,70315,,2003-07-04,2021-02-02,739227,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,RAY - A OPERATING INC.,695236,"ENGLISH, W.L. """"A""""",15892,11,41737957,7B,SHACKELFORD,SHACKELFORD COUNTY REGULAR,82522001,,L,573,2019-03-15,f,6458,,1995-10-12,2020-11-30,715077,,4,,,21,5,2021,D,f,f,f,f,2,2,2,2,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,RAY - A OPERATING INC.,695236,"ENGLISH, W.L. """"A""""",15892,5,41733250,7B,SHACKELFORD,SHACKELFORD COUNTY REGULAR,82522001,,L,560,2018-08-15,f,6311,,1980-07-30,2020-11-30,715077,,4,,,21,5,2021,D,f,f,f,f,2,9,2,9,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"ALCORN RESOURCES, LLC",011275,"FALOR, HIRAM",00828,15,18732505,01,GUADALUPE,LA VERNIA,51093001,A,L,788,2020-03-15,f,8778,,1983-06-03,,,,,,,12,5,2021,D,f,f,f,f,1,2,1,2,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,"ALCORN RESOURCES, LLC",011275,"FALOR, HIRAM",00828,2,18702438,01,GUADALUPE,LA VERNIA,51093001,A,L,782,2020-03-15,f,8711,,1984-01-12,,,,,,,12,5,2021,D,f,f,f,f,1,2,1,2,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
O,APACHE PRODUCTION COMPANY,027237,"FERGUSON """"AA""""",11083,47,00932221,09,ARCHER,ARCHER COUNTY REGULAR,3446001,A,L,4946,2019-10-15,f,21614,,1977-02-26,2021-02-02,741351,272865,2,Enf,,33,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,FLOICE GAS UNIT,229252,2,34732500,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9372,2019-10-15,f,74320,,2007-05-31,2019-10-29,542594,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,216344,5,34732079,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8892,2019-09-15,f,70514,,2005-07-21,2020-09-23,689957,,,Enf,,21,9,2021,D,f,f,f,f,1,8,2,0,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,225233,7,34732266,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9452,2019-10-15,f,74954,,2006-11-14,2019-10-25,541331,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,FOSHEE GAS UNIT,226148,6,34732402,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9452,2019-09-15,f,74954,,2007-02-04,2021-02-24,745920,,,Enf,,21,9,2021,D,f,f,f,f,1,8,2,0,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"FOSHEE, A.M.",182496,3,34731683,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8900,2019-10-15,f,70577,,2001-03-11,2019-10-25,540934,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"FOSHEE, A.M.",192075,5,34731757,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,8999,2019-10-15,f,71362,,2002-10-23,2019-10-31,544132,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
G,"WEATHERLY OIL & GAS, LLC",902815,"FOSHEE, A.M.",228925,7,34732464,06,NACOGDOCHES,NACONICHE CREEK (ROD.-TP CONS.),64300287,,L,9106,2019-10-15,f,72211,,2007-05-15,2019-10-23,539823,,,Enf,,21,9,2021,D,f,f,f,f,1,7,1,11,D,f,f,f,f,f,f,f,f,f,f,f,f,f,f
