district,api,ofcu_well_priority,operator_name,operator_no,lease_name,lease_no,well_no,bonded_depth,field_name,county,sfp_code,ice_inspection_date,ice_inspection_id,sb639_enf,sb639_r15,months_delinquent
04,35532943,3,AMERRIL ENERGY LLC,019786,EAST FLOUR BLUFF STATE E,150725,9-F,6900,"FLOUR BLUFF, EAST (C-45)",NUECES,,2020-03-05,594946,Enf,Rule 15,49
04,35532897,3,AMERRIL ENERGY LLC,019786,EAST FLOUR BLUFF STATE D,165716,19D,2850,"FLOUR BLUFF, EAST (C-45)",NUECES,,2020-12-04,717474,Enf,Rule 15,49
04,35532941,3,AMERRIL ENERGY LLC,019786,EAST FLOUR BLUFF STATE D,150680,20,6827,"FLOUR BLUFF, EAST (MASSIVE, UP.)",NUECES,,2020-12-04,717473,Enf,Rule 15,49
10,17900737,,"PG-M INTERNATIONAL OPERATING,LLC",631795,LEOPOLD -C-,01645,2,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2021-01-27,737230,,,18
10,17900734,,"PG-M INTERNATIONAL OPERATING,LLC",631795,LEOPOLD -C-,01645,1,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2021-01-27,737230,,,18
10,06502225,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,15,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
06,21330273,3,"US ENERGY HOLDINGS, LLC",879267,E.S.S.C.,10226,3,4221,CAYUGA,HENDERSON,,2020-10-26,704139,Enf,Rule 15,68
7B,08302587,4,K & W VANPELT COMPANY,448748,STONE -A-,032252,2,3550,"COLEMAN (PALO PINTO, LO)",COLEMAN,,2020-10-23,703279,Enf,Rule 15,21
7B,13336385,4,YELLOW ROSE OIL & GAS OPER. INC.,946964,CADE,22923,1,3800,"THEO JIREH (CADDO LIME, MIDDLE)",EASTLAND,,2020-12-07,717739,Enf,Rule 15,36
7B,04980144,4,"BROWN INDUSTRIAL GAS OP, INC.",100298,"MOORE, H. B.",041413,2C,1467,"BROWNWOOD, SOUTH (MARBLE FALLS)",BROWN,,,,Enf,Rule 15,52
10,06502218,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,7,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502227,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,19,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502223,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,12,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-04-28,621529,,,18
10,06502230,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,22,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502229,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,21,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
7B,04933532,4,FORMATION RECOVERY LLC,276932,SPENCE,123246,1,2902,"BBB&C, BLK.3 (MARBLE FALLS)",BROWN,,2020-12-08,718369,Enf,,45
08,38932015,3,RE-OP CORP.,695742,REEVES -BK- FEE,32288,3,3320,"REAVES, N. (3200)",REEVES,,2020-12-03,717575,Enf,,218
06,20301962,3,"PETROLEUM PRODUCTION MGMT., INC.",660694,SEALEY-ALLEN,029892,1C,6389,"CARTHAGE (PETTIT, LOWER GAS)",HARRISON,,2020-08-19,673088,,,274
04,00700331,3,"TRYALL, INC",872138,COPANO BAY STATE,00969,11T,6625,"FULTON BEACH, WEST (E)",ARANSAS,,2020-11-12,710219,,,67
04,00730899,3,"TRYALL, INC",872138,COPANO BAY STATE,13557,81,8261,"FULTON BEACH, WEST (LWR G)",ARANSAS,,2020-11-12,710212,,,67
04,00730739,3,"TRYALL, INC",872138,COPANO BAY STATE,249194,79,7940,"FULTON BEACH, WEST (LWR G)",ARANSAS,,2020-11-12,710216,,,67
03,08932485,2H,"ROCK ENERGY RESOURCES, INC.",722819,KALLINA,234171,4601,16230,"GARWOOD, SW (MIDDLE WILCOX)",COLORADO,,2020-10-02,694193,,,112
02,29734295,4,CBN OPERATING CORP.,140558,MCNEIL,172263,1,16580,"DINERO, W. (WILCOX 13600)",LIVE OAK,,2020-09-03,680525,,,84
02,29734364,4,CBN OPERATING CORP.,140558,MCNEIL,180781,4,15806,"DINERO, W. (WILCOX 13600)",LIVE OAK,,2020-09-03,680515,,,84
03,18530459,4,"AEON OPERATING, INC.",000834,NAVASOTA UNIT,154465,1,17899,"GIDDINGS (AUSTIN CHALK, GAS)",GRIMES,,2021-02-09,742329,,,65
05,28931398,4,"ALLIED OPERATING TEXAS, LLC",014471,CHAMPION RANCH MACIE,03798,1H,6764,"CENTERVILLE, S. (WOODBINE W-1)",LEON,,2019-06-03,481506,Enf,,66
09,23735226,3,"RBE JACK ARCHER, LLC",685832,RUTH,16215,5,4765,"BRYSON, EAST",JACK,272074,2021-04-07,760837,Enf,,19
03,47730818,2,"SANTANA ENERGY SERVICES, LLC",748153,DUTY UNIT,175789,1,14830,"GIDDINGS (AUSTIN CHALK, GAS)",WASHINGTON,,2020-11-17,711862,Enf,,125
8A,11532126,2H,"ATX OPERATING COMPANY, INC.",036741,LEWIS,65335,1,9335,ACKERLY (DEAN SAND),DAWSON,,2021-03-18,754784,Enf,,44
02,17532013,3,"PHILLIP, DAVID MARTIN",661638,BEACHAMP,116878,3,3861,ALBRECHT (HOCKLEY),GOLIAD,,2020-11-18,712471,Enf,,344
03,32131542,2H,HIGH ISLAND GAS LLC,385533,STATE TRACT 304,126376,1,4195,"OYSTER LAKE,W.(3930)",MATAGORDA,,,,Enf,,73
8A,27930404,2H,MADISON AND WRIGHT LLC,521182,CONNOR,69812,2,4208,ILLUSION LAKE (SAN ANDRES),LAMB,,,,Enf,,13
04,60230001,2H,MODENA OPERATING LLC,573221,SOUTH SPRINT STATE GAS UNIT # 2,053640,1,10825,"SPRINT, S. (FRIO A)",MUSTANG IS-SB,,,,Enf,,91
01,05502325,2,IPACT,425810,"HINDS, ADDIE, ETAL -B-",03706,1,2635,SALT FLAT,CALDWELL,,2021-01-11,729774,,,133
10,06502222,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,11,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502224,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,13,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-04-28,621529,,,18
10,06502232,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,24,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
03,32131275,2H,"GEL PETROLEUM, INC.",298876,ANDERSON,20712,1D,11520,"LUCKY, EAST (HUEBNER)",MATAGORDA,,2020-11-23,714105,,Rule 15,65
10,06502231,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,23,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
08,22733699,3,"SOUTHSTONE ENERGY, LLC",806004,GUITAR,26122,5,3310,MOORE,HOWARD,,2019-11-18,552597,Enf,,39
10,17900757,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"KINZER, W. G.",00398,3,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2019-04-26,467849,,,18
10,17900758,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"KINZER, W. G.",00398,1,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2019-04-22,465491,,,18
10,17900761,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"KINZER, W. G.",00398,4,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2019-01-25,433283,,,18
05,34934996,,B & J OIL COMPANY,040608,"BENNETT, TOM",03917,2B,,CORSICANA (SHALLOW),NAVARRO,,2018-04-30,334834,,,13
02,02533228,3,GREAT TEXAS CRUDE INC.,328774,BEASLEY A,08835,1,5000,"TYNAN, EAST (FRIO)",BEE,,2020-10-27,704320,Enf,Rule 15,88
02,02532932,3,GREAT TEXAS CRUDE INC.,328774,MIDWAY,176657,3,4891,"TYNAN, EAST (FRIO 4800)",BEE,,2020-09-02,680011,Enf,Rule 15,88
02,02532863,3,GREAT TEXAS CRUDE INC.,328774,ROYAL,167058,1,4960,"TYNAN, EAST (FRIO 4800)",BEE,,2020-10-27,704155,Enf,Rule 15,88
02,02532899,3,GREAT TEXAS CRUDE INC.,328774,MIDWAY,170268,1,5000,"TYNAN, EAST (FRIO 4800)",BEE,,2020-08-24,674569,Enf,Rule 15,88
8A,16931311,2H,C & S OPERATING,121055,KING,63533,1,3478,BUENOS,GARZA,271536,2021-02-09,742218,Enf,Rule 15,88
02,02532733,3,GREAT TEXAS CRUDE INC.,328774,JOSTES,155294,1,5000,"TYNAN, EAST (FRIO 4800)",BEE,,2020-10-27,704148,Enf,Rule 15,88
02,02532723,3,GREAT TEXAS CRUDE INC.,328774,KIRCHER,157870,1,5010,"TYNAN, EAST (FRIO 4800)",BEE,,2020-10-27,704321,Enf,Rule 15,88
02,02532864,3,GREAT TEXAS CRUDE INC.,328774,CROWN,167057,1,5000,"TYNAN, EAST (FRIO 4800)",BEE,,2020-10-27,704151,Enf,Rule 15,88
02,02533047,4,GREAT TEXAS CRUDE INC.,328774,JOSTES,181611,3,4900,"TYNAN, EAST (2240)",BEE,,2020-09-01,679284,Enf,Rule 15,88
02,29701842,,"WILLEFORD, BILLY RAY",924355,"WILLEFORD, B. R.",004101,1,,SCHWARTZ (700),LIVE OAK,,2020-08-12,669230,,,500
10,06500960,,"PG-M INTERNATIONAL OPERATING,LLC",631795,KARCAT,02304,1,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2021-01-04,726762,,,18
10,06500964,,"PG-M INTERNATIONAL OPERATING,LLC",631795,KARCAT,02304,5,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2021-01-04,726762,,,18
03,31330304,4,"SRJC ENTERPRISES, LLC",810824,WILEY W. BRYANT UNIT NO. 1,20866,1,9681,"MADISONVILLE, W. (WOODBINE -A-)",MADISON,,2020-09-02,679902,Enf,Rule 15,65
10,06504135,,"PG-M INTERNATIONAL OPERATING,LLC",631795,BURK,02475,2,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-05,594897,,,18
10,06500965,,"PG-M INTERNATIONAL OPERATING,LLC",631795,DEBBIE,02353,1,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2021-01-04,726763,,,18
10,06502755,,"PG-M INTERNATIONAL OPERATING,LLC",631795,COUTS,01639,2,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-05,594895,,,18
10,06502757,,"PG-M INTERNATIONAL OPERATING,LLC",631795,BURK,02475,3,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-05,594897,,,18
10,17900741,,"PG-M INTERNATIONAL OPERATING,LLC",631795,LEOPOLD -C-,01645,3,,PANHANDLE GRAY COUNTY FIELD,GRAY,,2021-01-27,737230,,,18
06,20301300,,"LONGLEAF PRODUCTION, LLC",508460,LODISKI-POWELL,02873,4,,LONGWOOD (GOODLAND LIME),HARRISON,,2020-09-04,681431,,,169
08,37101721,,"DIAMOND M OIL CO., INC.",216899,WILSON,020517,1,,MAC DER (YATES),PECOS,,2019-10-04,532226,,,264
10,06502226,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,16,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502221,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,10,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502228,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,20,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
10,06502233,,"PG-M INTERNATIONAL OPERATING,LLC",631795,"BONEY, T. J. NCT-3",01801,25,,PANHANDLE CARSON COUNTY FIELD,CARSON,,2020-03-24,603664,,,18
01,32531029,2H,"RIFF, OLGA",711795,RIFF,06508,3,692,TAYLOR-INA,MEDINA,,2017-10-12,267722,,,437
7B,04980072,4,"BROWN INDUSTRIAL GAS OP, INC.",100298,CARTWRIGHT,017817,1,1210,JANELLEN (CADDO),BROWN,,,,Enf,Rule 15,52
04,47934423,4,"OAKWOOD ENERGY, INC.",617356,BRUNI G.U. 1,123687,3,9640,"THOMPSONVILLE, NE (WILCOX 9500)",WEBB,,2020-11-13,710628,,,103
08,10581245,3,JDT OIL,430595,THOMPSON -B-,25472,30,286,TOBORG,CROCKETT,265376,2016-10-04,146284,Enf,,307
08,47581524,3,MAKK OIL PRODUCTION INC.,522996,GRIMES,08756,10,2958,"WARD, SOUTH",WARD,,2020-12-07,717648,,,94
08,47532652,3,MAKK OIL PRODUCTION INC.,522996,GRIMES -B-,27599,7,2600,"WARD, SOUTH",WARD,,2020-12-04,717650,,,94
08,47532651,3,MAKK OIL PRODUCTION INC.,522996,GRIMES -B-,27599,6,3040,"WARD, SOUTH",WARD,,2020-12-04,717650,,,94
05,21330479,,"BYNG ENERGY GROUP, INC.",118732,VAN HORN,02804,1,8650,"HAM FOX (RODESSA """"C"""")",HENDERSON,,2021-03-16,753524,Enf,,26
7B,08330645,4,RINGO RIG LLC,712386,HERRING VERNON,070174,1A,2550,COLEMAN COUNTY REGULAR (GAS),COLEMAN,,,,Enf,,23
02,60330004,2H,GULF ENERGY EXPLORATION CORP.,338104,STATE TRACT 707-S,060757,1U,4350,SHERMAN OFFSHORE (3900),MATGRDA IS-SB,266676,,,Enf,,71
02,60330249,2H,GULF ENERGY EXPLORATION CORP.,338104,STATE TRACT 720-S,149096,2-U,6450,"SHERMAN OFFSHORE, W.(1700 MIO.)",MATGRDA IS-SB,266677,,,Enf,,71
08,47532506,4,MAKK OIL PRODUCTION INC.,522996,YATES - STATE,27224,1,3020,"WARD, SOUTH",WARD,,2020-05-15,630496,,,94
08,47581522,3,MAKK OIL PRODUCTION INC.,522996,GRIMES,08756,3,2102,"WARD, SOUTH",WARD,,2020-12-07,717648,,,94
08,47533101,3,MAKK OIL PRODUCTION INC.,522996,MILLER,28895,1W,3240,"WARD, SOUTH",WARD,,2020-12-04,717914,,,94
08,47533837,2,LEE PRODUCTION CO.,495235,SEALY,31658,3,3400,"WARD-ESTES, NORTH",WARD,,2021-02-25,746717,,,101
7B,04904050,3,"PETROLIA GROUP, L.L.C.",660810,"DAVIS, W. B.",017820,3,1260,JANELLEN (CADDO),BROWN,,2020-11-04,707694,Enf,Rule 15,68
01,33132407,3,DRILLPRO PRODUCTION,228365,"HERZER, J.F. -A-",12221,1,2298,WILDCAT,MILAM,,2016-10-25,152757,,,380
04,48930878,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,12550,202,8070,"WILLAMAR, WEST (MIOCENE 6700)",WILLACY,,2020-12-18,723735,,Rule 15,39
03,08932470,3,TEXAS GULF PRODUCTION CO. LLC,846255,COLOVACA G.U.,250649,1,15943,"HOLLIER (WILCOX 11,900)",COLORADO,,2020-01-24,575277,,Rule 15,30
04,48930876,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,12550,207,8090,"WILLAMAR, WEST (MIOCENE 6700)",WILLACY,,2020-12-18,723736,,Rule 15,39
04,48930868,4,"CHESTNUT EXPLOR. AND PROD., INC.",147847,SAUZ RANCH MULATOS PASTURE,12550,188,8100,"WILLAMAR, WEST (MIOCENE 6700)",WILLACY,,2021-02-10,742901,,Rule 15,39
06,40131808,2,"EMBASSY WELL SERVICE, LLC",250943,"HAYS, OREN",10075,2,7605,"LANEVILLE, NE. (PETTIT, LO.)",RUSK,,2020-10-29,705283,,Rule 15,70
7B,05935448,4,YELLOW ROSE OIL & GAS OPER. INC.,946964,HAYDEN,122541,1,4103,CALLAHAN COUNTY REGULAR (GAS),CALLAHAN,,2020-11-05,707995,Enf,Rule 15,36
7B,05935909,4,PRICKLY PAIR PRODUCTION,677108,"BATTLE, E. R. 'A'",25058,1,4060,"SCRANTON,NW (DUFFER)",CALLAHAN,,2020-11-05,715320,Enf,Rule 15,34
7B,04980073,4,"BROWN INDUSTRIAL GAS OP, INC.",100298,"DAVIS, M. J.",017818,1,1157,JANELLEN (CADDO),BROWN,,,,Enf,Rule 15,52
7B,04934109,4,"ROCO PETROLEUM, INCORPORATED",723552,INDIAN MOUNTAIN,21944,1,1630,BUCY (CADDO),BROWN,,2020-10-02,693978,Enf,,50
7B,05932715,4,GLOBAL XRC CORP,310348,GREEN-WILLIAMS (MORAN)UNIT,228023,302,2203,CALLAHAN COUNTY REGULAR (GAS),CALLAHAN,,2020-09-16,686359,Enf,,20
7B,05930976,4,SWEET TEXAS T ENERGY LLC,833255,BURNAM,091086,1,4230,CALLAHAN COUNTY REGULAR (GAS),CALLAHAN,,2019-04-22,465362,Enf,,39
7B,43310099,4,"BYNG ENERGY GROUP, INC.",118732,"ABERNATHY, CHARLES G. -B-",09771,1,6079,"PUMPHREY, NORTH (CONGLOMERATE)",STONEWALL,,2020-04-20,617687,Enf,,26
7B,43310098,4,"BYNG ENERGY GROUP, INC.",118732,"ABERNATHY, CHARLES G.",09559,2,6078,"PUMPHREY, NORTH (CONGLOMERATE)",STONEWALL,,2020-04-20,617684,Enf,,26
7B,04933878,4,"R & D OPERATING, INC.",685874,MASHBURN,112343,2,1999,CHRISTI B (MARBLE FALLS),BROWN,,2019-05-29,479199,Enf,,35
7B,04933974,4,"R & D OPERATING, INC.",685874,LINDLEY,110972,1,1995,CHRISTI B (MARBLE FALLS),BROWN,,2020-12-07,718085,Enf,,35
7B,04934080,4,"R & D OPERATING, INC.",685874,LINDLEY,113145,2,1993,CHRISTI B (MARBLE FALLS),BROWN,,2019-05-29,479193,Enf,,35
08,38932047,3,RE-OP CORP.,695742,AM REEVES,34146,1025,3201,"REAVES, N. (3200)",REEVES,,2020-12-07,718231,Enf,,218
7B,20732538,4,LOW-END OIL LLC,510360,REAMES,28027,6,5174,LINDSAY BEA (CONGL),HASKELL,,2020-11-09,708819,Enf,,57
7B,15131553,4,JJH PROD. CO.,427652,"HORTON, AMOCO",18981,15,5205,"SATURDAY, EAST (CANYON SAND)",FISHER,,2020-08-10,668335,Enf,,53
7B,08333019,4,RINGO RIG LLC,712386,SMITH-MCKNIGHT,117891,1OJ,1954,COLEMAN COUNTY REGULAR,COLEMAN,,2020-11-18,712146,Enf,,23
7B,08332999,3,RINGO RIG LLC,712386,SMITH-MCKNIGHT,19940,3,650,COLEMAN COUNTY REGULAR,COLEMAN,,2020-10-26,703545,Enf,,23
04,70230156,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,093474,A6,10690,SAMEDAN (FRIO),MUSTANG IS-LB,,,,Enf,,200
04,70230139,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,094611,A2,12981,SAMEDAN (FRIO),MUSTANG IS-LB,,,,Enf,,200
04,70230148,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,096205,A4,12150,SAMEDAN (FRIO),MUSTANG IS-LB,,,,Enf,,200
04,70230159,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,093473,A7,10313,SAMEDAN (FRIO),MUSTANG IS-LB,,,,Enf,,200
02,28533447,4,"GAPP OIL & GAS, LLC",293986,ROBERTSON,239493,1,13330,"SPEAKS, NW. (WILCOX 12,800)",LAVACA,,2020-12-16,722286,,,28
02,02532653,3,IPACT,425810,T & H RANCH,07848,1,4288,TYNAN (F-6),BEE,,2020-09-15,685364,,,133
7B,08333233,4,RINGO RIG LLC,712386,SMITH-MCKNIGHT,117890,1B,1426,COLEMAN COUNTY REGULAR,COLEMAN,,2020-11-18,712145,Enf,,23
7B,08332994,4,RINGO RIG LLC,712386,SMITH-MCKNIGHT,19940,2,640,COLEMAN COUNTY REGULAR,COLEMAN,,2020-10-26,703545,Enf,,23
02,23931795,3,"SEQUOIA FOSSIL FUELS, INC.",767534,"SIMONS, T. K.",06403,4,6900,"TEXANA, N. (FRIO 5880)",JACKSON,,2020-11-16,711431,Enf,Rule 15,101
02,23901701,3,"SEQUOIA FOSSIL FUELS, INC.",767534,"SIMONS, T. K.",04964,3,5210,"TEXANA, N. (FRIO 6140)",JACKSON,,2020-11-16,711449,Enf,Rule 15,101
02,23930383,3,"SEQUOIA FOSSIL FUELS, INC.",767534,"SIMONS, T.K.",09363,2,7001,"TEXANA, NORTH (5550)",JACKSON,,2020-11-16,711432,Enf,Rule 15,101
02,23903425,3,"SEQUOIA FOSSIL FUELS, INC.",767534,"SIMONS, T. K.",034930,1,5892,"TEXANA, NORTH (5800)",JACKSON,,2020-11-16,711434,Enf,Rule 15,101
7B,04934005,4,"TEXAS SANDS RESOURCES, LLC",847981,"THOMASON, WORTH """"A""""",21849,3,2893,"THRIFTY, S. (CHAPPEL REEF)",BROWN,,2021-01-27,737332,Enf,Rule 15,41
02,02533070,3,"SAXUM OIL & GAS, LLC",749687,"STAPLES, J. JR.",214165,3,4500,"TULETA, SOUTH (1250)",BEE,,2020-11-10,709709,Enf,Rule 15,52
02,02533161,3,"SAXUM OIL & GAS, LLC",749687,"STAPLES, J. JR.",213988,4,4400,"TULETA, SOUTH (2050)",BEE,,2020-11-10,709520,Enf,Rule 15,52
02,02532037,3,"OMEGA ENERGY, LLC",622657,"PAWALEK, M. M.",113313,1,4212,"YOUGEEN, S. (FRIO 3650)",BEE,,2020-11-23,714111,Enf,Rule 15,83
7B,36331057,4,MINGUS OIL & GAS,569683,WILBAR,069799,3,3500,WILBAR (1600),PALO PINTO,,2020-10-25,703456,Enf,Rule 15,41
09,50340509,2H,NHRG INC,598344,"WOLF, WILLIE",22084,7,725,YOUNG COUNTY REGULAR,YOUNG,274516,2021-01-05,727513,Enf,Rule 15,12
7B,13337502,4,YELLOW ROSE OIL & GAS OPER. INC.,946964,CLABORNE,26116,2,3999,"MANGUM, NORTH (3200)",EASTLAND,,2020-11-13,710475,Enf,Rule 15,36
7B,13337490,4,YELLOW ROSE OIL & GAS OPER. INC.,946964,CLABORNE,218891,1,3950,"MANGUM, NORTH (3200)",EASTLAND,,2020-11-13,710470,Enf,Rule 15,36
04,24701076,2H,"PONTIAC OIL, INC.",670449,"TREVINO, ADOLFO",014638,5,9828,"THOMPSONVILLE, NE (WILCOX 9500)",JIM HOGG,,2020-11-03,706795,Enf,,314
7B,44735154,4,"ALPHA GAMMA ONSHORE, LLC",015112,"KELLY RANCH """"A""""",28605,2,4694,"THROCKMORTON, S. (CONGLOMERATE)",THROCKMORTON,,2020-10-30,705650,Enf,,24
03,07131232,2H,OTEX RESOURCES LLC,628135,MAYES -A-,11073,23A,3506,LOST LAKE,CHAMBERS,,2020-08-13,670478,Enf,,55
05,22330081,2,"NBI SERVICES, INC.",601352,"DAVIS, BERT",01763,8,4537,SULPHUR BLUFF,HOPKINS,271890,2021-03-11,752088,Enf,,25
01,05504890,2,"GREAT PLAINS RESOURCES, INC.",328746,"MITCHELL, J. C.",03650,1,2460,TENNEY CREEK,CALDWELL,273957,2020-12-09,718993,Enf,,272
04,70230116,2H,"VTEX ENERGY, INC.",887727,STATE TRACT 818L,085547,A1,10500,SAMEDAN (FRIO),MUSTANG IS-LB,218876,,,Enf,,200
01,16331885,3,"PONTIAC OIL, INC.",670449,"HALM, BONNYE H.",07704,1,6093,PEARSALL (AUSTIN CHALK),FRIO,251676,,,Enf,,314
08,33530396,2,CWOC,195818,"MORRIS, J. F.",23503,2,3541,WESTBROOK,MITCHELL,,2020-04-30,626362,,,25
01,17730719,4,"THOMAS, MIKE",854357,MOORE 2,13291,1,5740,NIXON,GONZALES,,2020-11-09,709231,,,39
02,29780432,4,"MCGUFFIN, JOE S. INC.",549895,"MCGUFFIN, JOE S.",06365,S17,4285,"SWINNEY SWITCH (HOCKLEY, UPPER)",LIVE OAK,,2020-09-02,679773,,,299
04,24732086,3,"BLUE AGAVE RESOURCES, LLC",076425,"LOPEZ, LAURO",165419,6R,15000,"TRAVIS WARD (HINNANT, 1ST)",JIM HOGG,,2020-10-30,706107,,,86
01,32332487,4,ESPADA OPERATING LLC,254277,BANDERA ALKEK,158169,2311,5332,"BRENNAN BROSIER (RODESSA, UP.)",MAVERICK,,2016-12-16,168049,Enf,Rule 15,91
